Item Number	Category Name	Item Description	Vendor	Vendor Name	Bottle Volume (ml)	Pack	Inner Pack	Age	Proof	List Date	UPC	SCC	State Bottle Cost	State Case Cost	State Bottle Retail	Report Date
901141	Special Order Items	Libertine Absinthe(French Absinthe) Mini	885	YAHARA BAY DISTILLERS INC	50	6	1	0	114	04/20/2012		10892060104050	4.82	28.90	7.23	10/01/2021
65017	Imported Cordials & Liqueurs	Galliano Liqueur	305	Mhw LTD	375	12	1	0	84	10/01/2012	80915112111	10892060104050	10.75	129.00	16.13	10/01/2021
88152	100% Agave Tequila	Sauza 901 Silver	065	Jim Beam Brands	750	6	1	0	80	06/01/2014	80686842019	10892060104050	13.12	78.72	19.68	10/01/2021
903796	Special Order Items	Bacardi Anejo DISCO	035	BACARDI USA INC	750	12	1	0	80	09/01/1990	80686842019	80480004347	7.75	93.00	11.63	10/01/2021
905846	Scotch Whiskies	Ron Burgundy	305	Mhw LTD	750	12	1	0	80	10/01/2014	80686842019	10626990143885	14.61	175.25	21.92	10/01/2021
902499	Special Order Items	Hiram Walker Peach Schnapps	370	PERNOD RICARD USA	1000	12	1	0	30	12/01/1995	80686842019	89540472997	4.50	53.94	6.75	10/01/2021
77653	American Flavored Vodka	Smirnoff Coconut	260	DIAGEO AMERICAS	750	12	1	0	70	07/01/2014	80686842019	89540472997	8.25	98.99	12.38	10/01/2021
77658	American Flavored Vodka	Smirnoff Cranberry	260	DIAGEO AMERICAS	750	12	1	0	70	07/01/2014	80686842019	82000769378	8.25	98.99	12.38	10/01/2021
906034	Single Malt Scotch	Scapa Skiren	370	PERNOD RICARD USA	750	6	1	0	80	02/01/2016	80432110324	82000769378	59.97	359.82	89.96	10/01/2021
65061	Imported Schnapps	Goldschlager Cinnamon Schnapps Mini	421	SAZERAC COMPANY  INC	50	10	12	0	87	03/01/2000	80432110324	86767700780	6.00	60.00	9.00	10/01/2021
88183	Mixto Tequila	Olmeca Altos Plata Mini DISCO	370	PERNOD RICARD USA	50	12	10	0	80	04/01/2015	80432108543	86767700780	6.60	79.20	9.90	10/01/2021
48172	Temporary & Specialty Packages	Hennessy VS Shepard Fairey	420	MOET HENNESSY USA	750	12	1	0	80	07/01/2014	80686842019	80480004347	18.99	227.88	28.49	10/01/2021
901143	Special Order Items	Nut Chocolate	885	YAHARA BAY DISTILLERS INC	750	3	1	0	44	04/19/2012	81753826703	10892060102650	17.59	52.75	26.39	10/01/2021
902500	Straight Bourbon Whiskies	HA Elijah Craig 18YR Single Barrel	259	Heaven Hill Brands	750	3	1	18	90	11/15/1995	96749010189	10892060102650	64.17	192.51	96.26	10/01/2021
903800	Special Order Items	Ricard Anise Liqueur	370	PERNOD RICARD USA	750	12	1	0	90	09/15/1990	96749010189	10080432296674	15.00	179.94	22.50	10/01/2021
65065	Imported Schnapps	Goldschlager Cinnamon Schnapps DISCO	421	SAZERAC COMPANY  INC	375	12	1	0	87	05/01/1995	96749010189	10080432296674	7.24	86.88	10.86	10/01/2021
906065	Special Order Items	Few Rye	368	Park Street Imports	750	6	1	0	93	04/25/2014	96749010189	10738435750548	30.17	181.02	45.26	10/01/2021
901144	Special Order Items	Nut Chocolate	885	YAHARA BAY DISTILLERS INC	375	6	1	0	44	04/19/2012	96749010189	10892060102643	10.23	61.36	15.35	10/01/2021
902501	Special Order Items	Trader Vics Macadamia Nut Liqueur	380	Phillips Beverage	750	6	1	0	53	08/15/2007	84279970936	10892060102643	10.52	63.12	15.78	10/01/2021
