Store	Name	Store Status	Address	City	State	Zip Code	Store Address	Report Date
2681	Hy-Vee C-Store / Fairfield	A	1300 W Burlington	Fairfield	IA	52556		10/01/2021
4014	Wal-Mart 1732 / Denison	A	510 C Ave	Denison	IA	51442		10/01/2021
4251	AJ's Liquor / Ames	I	4518 Mortenson Rd Ste 109	Ames	IA	50014		10/01/2021
4269	Tipton Family Foods	A	610 Cedar St	Tipton	IA	52772	POINT (-91.128389 41.771753)	10/01/2021
4337	Grand Falls Casino Resort	A	1415 Grand Falls Blvd	Larchwood	IA	51241		10/01/2021
5046	West K Mart	I	707, Palean St	Keokuk	IA	52632	POINT (-91.391355 40.393735)	10/01/2021
5201	Kwik Stop  #858  /  Dubuque	I	3340 JFK  Rd	Dubuque	IA	52001		10/01/2021
5284	Brooklyn Grocery	I	122, Front St.	Brooklyn	IA	52211		10/01/2021
5444	Marshall Beer Wine Spirits	A	11 N 3rd Ave	Marshalltown	IA	50158	POINT (-92.908013 42.050021)	10/01/2021
5807	Casey's General Store #1028 / Middletown	A	75 Main St	Middletown	IA	52638		10/01/2021
5976	Casey's General Store #2422 / Creston	A	403 E. Townline St	Creston	IA	50801	POINT (-94.357169 41.071089)	10/01/2021
4637	Kwik Shop #560 / Cedar Rapids	A	3301 J St	Cedar Rapids	IA	52404	POINT (-91.666812 41.944676)	10/01/2021
2555	Hy-Vee Food Store / Keokuk	A	3111 Main	Keokuk	IA	52632	POINT (-91.403752 40.41538)	10/01/2021
6012	Casey's General Store #1893 / Mason City	A	1607 S Federal Ave	Mason City	IA	50401	POINT (-93.201052 43.135953)	10/01/2021
5131	Oasis	A	1401, Buchanan St	Des Moines	IA	50316	POINT (-93.599362 41.59878)	10/01/2021
5476	Eldridge Mart	I	209 E LeClaire Rd	Eldridge	IA	52748	POINT (-90.58154 41.654676)	10/01/2021
4794	Smokin' Joe's #17 Tobacco and Liquor Outlet	A	110 S Roosevelt Hwy 61	Burlington	IA	52601	POINT (-91.141203 40.80943700000001)	10/01/2021
5396	Casey's General Store # 3512/ Indianola	A	301 E Trailridge Ave	Indianola	IA	50125		10/01/2021
5310	Crossroads of Algona	A	107 Hwy 18 W	Algona	IA	50511	POINT (-94.238912 43.082796)	10/01/2021
9921	maDIKwe USA	I	3101, Ingersoll Ave	Des Moines	IA	50312	POINT (-93.659573 41.586203)	10/01/2021
4538	K & S Grocery	I	402 North Main St	Clarksville	IA	50619	POINT (-92.667833 42.787434)	10/01/2021
5690	Dyno's #42 / Sac City	I	210 W Main St	Sac City	IA	50583	POINT (-94.986598 42.421866)	10/01/2021
